Date,Close,Open,High,Low,Volume
2019-10-25,927.05,925.49,927.05,923.56,56300.0
2019-10-28,925.97,927.96,929.93,925.8,60010.0
2019-10-29,923.97,925.67,928.38,923.97,59000.0
2019-10-30,925.07,923.98,928.85,922.67,56670.0
2019-10-31,922.68,925.02,928.88,922.06,63150.0
2019-11-01,933.55,922.46,934.21,922.46,76840.0
2019-11-04,940.25,933.96,941.46,932.31,87340.0
2019-11-05,942.34,940.53,944.62,938.73,71490.0
2019-11-06,942.38,942.4,945.43,940.76,75020.0
2019-11-07,944.25,942.38,945.26,940.23,76230.0
2019-11-08,944.7,944.28,948.37,942.19,74210.0
2019-11-11,939.72,944.72,946.55,938.78,80100.0
2019-11-12,939.82,939.72,942.55,937.95,66250.0
2019-11-13,932.6,939.82,941.13,930.84,76760.0
2019-11-14,928.44,932.45,935.72,927.14,78620.0
2019-11-15,927.36,928.82,930.84,922.59,66130.0
2019-11-18,920.95,927.49,929.18,920.52,69840.0
2019-11-19,926.07,921.0,926.07,919.95,63690.0
2019-11-20,917.0,925.94,926.67,917.0,72570.0
2019-11-21,898.23,917.0,917.06,898.23,83040.0
2019-11-22,892.31,898.93,906.93,885.83,82100.0
2019-11-25,894.8,892.31,896.43,886.81,63820.0
2019-11-26,897.5,895.36,900.72,895.36,68550.0
2019-11-27,895.06,898.58,901.1,894.8,58430.0
2019-11-28,885.7,894.45,895.42,883.16,69370.0
2019-11-29,887.47,885.9,888.41,882.68,60330.0
2019-12-02,875.1,887.47,889.47,875.1,76460.0
2019-12-03,868.68,874.9,877.96,865.74,77470.0
2019-12-04,883.56,868.79,883.56,865.31,74530.0
2019-12-05,879.32,883.33,886.36,878.39,61680.0
2019-12-06,880.43,878.28,882.59,875.99,60750.0
2019-12-09,879.94,880.39,882.58,876.01,64150.00000000001
2019-12-10,873.16,879.95,880.22,870.25,72500.0
2019-12-11,878.27,873.38,878.27,869.15,66720.0
2019-12-12,884.8,878.27,885.73,878.27,57450.0
2019-12-13,880.55,884.98,888.53,880.55,65820.0
2019-12-16,876.65,880.55,880.55,874.06,67010.0
2019-12-17,867.44,876.5,877.63,867.13,72410.0
2019-12-18,863.16,866.61,867.69,861.05,69570.0
2019-12-19,862.23,863.16,867.25,858.76,68010.0
2019-12-20,868.37,862.23,869.52,862.23,69390.0
2019-12-23,868.2,868.37,872.75,867.92,72190.0
2019-12-24,869.88,868.14,869.9,864.86,57930.0
2019-12-25,873.18,869.93,874.93,869.22,53690.0
2019-12-26,872.07,873.17,874.87,869.57,40380.0
2019-12-27,876.38,872.11,876.38,867.95,26810.0
2019-12-30,880.29,876.61,881.27,876.13,33520.0
2019-12-31,879.06,880.42,881.98,876.66,44430.0
2020-01-02,886.88,879.02,886.88,876.87,50390.0
