Date; close 
27/06/2019;854
28/06/2019;864
01/07/2019;876
02/07/2019;873
03/07/2019;870
04/07/2019;880
05/07/2019;880
08/07/2019;871
09/07/2019;872
10/07/2019;876
11/07/2019;879
12/07/2019;875
15/07/2019;874
16/07/2019;881
17/07/2019;880
18/07/2019;871
19/07/2019;881
22/07/2019;880
23/07/2019;888
24/07/2019;887
25/07/2019;890
26/07/2019;888
29/07/2019;889
30/07/2019;878
31/07/2019;883
01/08/2019;887
02/08/2019;885
05/08/2019;872
06/08/2019;866
07/08/2019;868
08/08/2019;876
09/08/2019;879
12/08/2019;882
13/08/2019;878
14/08/2019;881
15/08/2019;891
16/08/2019;892
19/08/2019;892
20/08/2019;894
21/08/2019;901
22/08/2019;901
23/08/2019;901
26/08/2019;892
27/08/2019;887
28/08/2019;886
29/08/2019;889
30/08/2019;893
03/09/2019;889
04/09/2019;887
05/09/2019;886
06/09/2019;886
09/09/2019;886
10/09/2019;883
11/09/2019;886
12/09/2019;894
13/09/2019;905
16/09/2019;909
17/09/2019;912
18/09/2019;913
19/09/2019;919
20/09/2019;915
23/09/2019;910
24/09/2019;911
25/09/2019;912
26/09/2019;918
27/09/2019;925
30/09/2019;923
01/10/2019;926
02/10/2019;920
03/10/2019;922
04/10/2019;915
07/10/2019;908
08/10/2019;915
09/10/2019;915
10/10/2019;913
11/10/2019;917
14/10/2019;922
15/10/2019;923
16/10/2019;925
17/10/2019;919
18/10/2019;919
21/10/2019;914
22/10/2019;917
23/10/2019;920
24/10/2019;925
25/10/2019;927
28/10/2019;926
29/10/2019;924
30/10/2019;925
31/10/2019;923
01/11/2019;934
04/11/2019;940
05/11/2019;942
06/11/2019;942
07/11/2019;944
08/11/2019;945
11/11/2019;940
12/11/2019;940
13/11/2019;933
14/11/2019;928
15/11/2019;927
18/11/2019;921
19/11/2019;926
20/11/2019;917
21/11/2019;898
22/11/2019;892
25/11/2019;895
26/11/2019;898
27/11/2019;895
28/11/2019;886
29/11/2019;887
02/12/2019;875
03/12/2019;869
04/12/2019;884
05/12/2019;879
06/12/2019;880
09/12/2019;880
10/12/2019;873
11/12/2019;878
12/12/2019;885
13/12/2019;881
16/12/2019;877
17/12/2019;867
18/12/2019;863
19/12/2019;862
20/12/2019;868
23/12/2019;868
24/12/2019;870
25/12/2019;873
26/12/2019;872
27/12/2019;876
30/12/2019;880
31/12/2019;879
02/01/2020;887
03/01/2020;883
06/01/2020;872
07/01/2020;877
08/01/2020;865
09/01/2020;878
10/01/2020;886
13/01/2020;882
14/01/2020;885
15/01/2020;885
16/01/2020;892
17/01/2020;895
20/01/2020;897
21/01/2020;907
22/01/2020;909
30/01/2020;876
31/01/2020;849
03/02/2020;843
04/02/2020;846
05/02/2020;845
06/02/2020;863
07/02/2020;863
10/02/2020;853
11/02/2020;856
12/02/2020;863
13/02/2020;864
14/02/2020;866
17/02/2020;866
18/02/2020;862
19/02/2020;864
20/02/2020;871
21/02/2020;869
24/02/2020;837
25/02/2020;850
26/02/2020;842
27/02/2020;848
28/02/2020;832
02/03/2020;835
03/03/2020;838
04/03/2020;838
05/03/2020;839
06/03/2020;836
09/03/2020;783
10/03/2020;790
11/03/2020;758
12/03/2020;719
13/03/2020;717
16/03/2020;698
17/03/2020;700
18/03/2020;701
19/03/2020;680
20/03/2020;674
23/03/2020;633
24/03/2020;625
25/03/2020;652
26/03/2020;647
27/03/2020;642
30/03/2020;613
31/03/2020;611
01/04/2020;629
03/04/2020;649
06/04/2020;683
07/04/2020;694
08/04/2020;691
09/04/2020;698
10/04/2020;696
13/04/2020;706
14/04/2020;714
15/04/2020;723
16/04/2020;727
17/04/2020;735
20/04/2020;736
21/04/2020;707
22/04/2020;714
23/04/2020;717
24/04/2020;725
27/04/2020;720
28/04/2020;716
29/04/2020;715
04/05/2020;709
05/05/2020;711
06/05/2020;726
07/05/2020;740
08/05/2020;760
11/05/2020;777
12/05/2020;782
13/05/2020;784
14/05/2020;781
15/05/2020;774
18/05/2020;787
19/05/2020;799
20/05/2020;803
21/05/2020;816
22/05/2020;803
25/05/2020;807
26/05/2020;815
27/05/2020;801
28/05/2020;804
29/05/2020;806
01/06/2020;821
02/06/2020;819
03/06/2020;824
04/06/2020;824
05/06/2020;826
08/06/2020;839
09/06/2020;837
10/06/2020;839
11/06/2020;807
12/06/2020;808
15/06/2020;779
16/06/2020;799
17/06/2020;796
18/06/2020;797
19/06/2020;808
22/06/2020;810
23/06/2020;808
24/06/2020;802
25/06/2020;797
26/06/2020;796
29/06/2020;775
30/06/2020;771
01/07/2020;787
02/07/2020;786
03/07/2020;790
06/07/2020;803
07/07/2020;806
08/07/2020;805
09/07/2020;817
10/07/2020;809
13/07/2020;806
14/07/2020;805
15/07/2020;810
16/07/2020;820
17/07/2020;814
20/07/2020;803
21/07/2020;805
22/07/2020;798
23/07/2020;800
24/07/2020;772
27/07/2020;730
28/07/2020;756
29/07/2020;735
30/07/2020;746
31/07/2020;741
03/08/2020;758
04/08/2020;768
05/08/2020;781
06/08/2020;782
07/08/2020;782
10/08/2020;784
11/08/2020;785
12/08/2020;788
13/08/2020;795
14/08/2020;792
17/08/2020;792
18/08/2020;787
19/08/2020;789
20/08/2020;786
21/08/2020;794
24/08/2020;810
25/08/2020;815
26/08/2020;812
27/08/2020;815
28/08/2020;822
31/08/2020;824
01/09/2020;832
03/09/2020;844
04/09/2020;841
07/09/2020;824
08/09/2020;828
09/09/2020;824
10/09/2020;826
11/09/2020;826
14/09/2020;832
15/09/2020;833
16/09/2020;835
17/09/2020;832
18/09/2020;841
21/09/2020;852
22/09/2020;853
23/09/2020;858
24/09/2020;853
25/09/2020;855
28/09/2020;863
29/09/2020;856
30/09/2020;859
01/10/2020;868
02/10/2020;862
05/10/2020;868
06/10/2020;871
07/10/2020;871
08/10/2020;870
09/10/2020;875
12/10/2020;875
13/10/2020;878
14/10/2020;892
15/10/2020;899
16/10/2020;902
19/10/2020;904
20/10/2020;909
21/10/2020;906
22/10/2020;918
23/10/2020;930
26/10/2020;920
27/10/2020;915
28/10/2020;889
29/10/2020;887
30/10/2020;893
02/11/2020;899
03/11/2020;902
04/11/2020;905
05/11/2020;904
06/11/2020;903
09/11/2020;917
10/11/2020;917
11/11/2020;917
12/11/2020;923
13/11/2020;931
16/11/2020;916
17/11/2020;935
18/11/2020;938
19/11/2020;945
20/11/2020;951
23/11/2020;960
24/11/2020;960
25/11/2020;961
26/11/2020;964
27/11/2020;971
30/11/2020;966
01/12/2020;976
02/12/2020;980
03/12/2020;985
04/12/2020;984
07/12/2020;992
08/12/2020;994
09/12/2020;1004
10/12/2020;994
11/12/2020;1009
14/12/2020;1024
15/12/2020;1013
16/12/2020;1030
17/12/2020;1017
18/12/2020;1037
21/12/2020;1050
22/12/2020;1052
23/12/2020;1046
24/12/2020;1034
25/12/2020;1052
28/12/2020;1054
29/12/2020;1058
30/12/2020;1059
31/12/2020;1071
04/01/2021;1092
05/01/2021;1104
06/01/2021;1114
07/01/2021;1131
08/01/2021;1148
11/01/2021;1163
12/01/2021;1169
13/01/2021;1165
14/01/2021;1169
15/01/2021;1182
18/01/2021;1173
19/01/2021;1107
20/01/2021;1116
21/01/2021;1151
22/01/2021;1157
25/01/2021;1154
26/01/2021;1125
27/01/2021;1084
28/01/2021;1011
29/01/2021;1048
01/02/2021;1030
02/02/2021;1080
03/02/2021;1118
04/02/2021;1118
05/02/2021;1136
08/02/2021;1093
09/02/2021;1129
17/02/2021;1175
18/02/2021;1188
19/02/2021;1181
22/02/2021;1181
23/02/2021;1182
24/02/2021;1167
25/02/2021;1170
26/02/2021;1174
01/03/2021;1192
02/03/2021;1195
03/03/2021;1196
04/03/2021;1174
05/03/2021;1174
08/03/2021;1170
09/03/2021;1163
10/03/2021;1172
11/03/2021;1189
12/03/2021;1188
15/03/2021;1191
16/03/2021;1188
17/03/2021;1193
18/03/2021;1212
19/03/2021;1203
22/03/2021;1199
23/03/2021;1187
24/03/2021;1166
25/03/2021;1165
26/03/2021;1167
29/03/2021;1180
30/03/2021;1191
31/03/2021;1196
01/04/2021;1226
02/04/2021;1238
05/04/2021;1250
06/04/2021;1255
07/04/2021;1258
08/04/2021;1252
09/04/2021;1253
12/04/2021;1278
13/04/2021;1277
14/04/2021;1291
15/04/2021;1284
16/04/2021;1277
19/04/2021;1306
20/04/2021;1313
22/04/2021;1272
23/04/2021;1301
26/04/2021;1275
27/04/2021;1284
28/04/2021;1294
29/04/2021;1312
04/05/2021;1328
05/05/2021;1347
06/05/2021;1345
07/05/2021;1341
10/05/2021;1371
11/05/2021;1359
12/05/2021;1380
13/05/2021;1370
14/05/2021;1380
17/05/2021;1371
18/05/2021;1379
19/05/2021;1402
20/05/2021;1425
21/05/2021;1425
24/05/2021;1430
25/05/2021;1444
26/05/2021;1455
27/05/2021;1437
28/05/2021;1459
31/05/2021;1475
01/06/2021;1483
02/06/2021;1479
03/06/2021;1504
04/06/2021;1508
07/06/2021;1484
08/06/2021;1439
09/06/2021;1458
10/06/2021;1451
11/06/2021;1488
14/06/2021;1496
15/06/2021;1487
16/06/2021;1466
17/06/2021;1462
18/06/2021;1481
21/06/2021;1478
