Date,Close,Open,High,Low,Volume,sma_10,sma_20,ema_10,ema_20,rsi_7,rsi_9,rsi_14
2020-03-09,782.85,835.65,835.65,781.12,107130.0,834.09,848.0,831.26,842.95,8.96,14.64,23.75
2020-03-10,789.51,782.85,794.88,762.34,90060.0,828.08,844.66,823.67,837.86,19.71,21.98,25.98
2020-03-11,758.16,789.75,795.98,746.83,99250.0,819.73,839.41,811.76,830.27,10.57,11.72,18.29
2020-03-12,719.21,757.9,757.9,710.33,113240.0,806.82,832.16,794.93,819.69,5.8,9.84,15.19
2020-03-13,716.65,715.34,722.3,674.36,113470.0,795.29,824.7,780.7,809.88,5.69,7.43,17.55
2020-03-16,698.18,716.65,716.65,688.8,74030.0,781.56,816.29,765.69,799.24,4.32,5.01,10.64
2020-03-17,699.73,698.0,702.36,673.21,80440.0,767.74,808.19,753.7,789.76,5.38,5.95,11.84
2020-03-18,700.65,699.73,705.3,695.42,77440.0,754.0,800.03,744.06,781.28,9.09,5.83,9.03
2020-03-19,679.55,699.35,699.35,669.04,73190.0,738.05,790.44,732.33,771.59,2.15,5.23,8.8
2020-03-20,673.7,679.78,683.55,668.9,81170.0,721.82,780.68,721.67,762.26,2.76,7.17,6.85
2020-03-23,632.86,671.05,671.05,628.46,81060.0,706.82,770.46,705.52,749.94,2.71,1.53,4.55
2020-03-24,625.43,632.63,633.97,619.07,85900.0,690.41,759.25,690.96,738.08,2.57,1.79,4.4
2020-03-25,652.31,625.83,652.31,625.83,86270.0,679.83,749.78,683.93,729.91,28.07,23.37,13.91
2020-03-26,646.7,651.94,655.06,639.02,74100.0,672.58,739.7,677.16,721.99,25.59,22.81,13.78
2020-03-27,642.23,646.61,649.17,633.41,102650.0,665.13,730.21,670.81,714.39,23.96,25.6,16.93
2020-03-30,613.02,641.92,641.92,605.0,81040.0,656.62,719.09,660.3,704.74,22.35,19.53,12.48
2020-03-31,610.76,613.33,629.08,598.6,77470.0,647.72,707.73,651.3,695.79,23.03,18.71,14.24
2020-04-01,628.79,609.35,631.6,606.03,73250.0,640.54,697.27,647.2,689.41,47.83,31.95,25.59
2020-04-03,649.15,630.37,649.15,630.37,84130.0,637.5,687.77,647.56,685.57,61.1,42.09,33.37
2020-04-06,682.65,649.15,682.65,649.15,127160.0,638.39,680.1,653.94,685.29,63.37,66.85,46.44
2020-04-07,693.61,682.65,695.45,677.03,117080.0,644.46,675.64,661.15,686.09,69.74,72.53,48.65
