Time,bid_quality,bid_volume,ask_quality,ask_volume,volume_diff,matching_volume,negotiable_volume,SMA10,SMA20,EMA_10,EMA_20,RSI_7d,RSI_9d,RSI_14d,Positive,Negative,return_vn30
2020-06-16,56570,175105120,55627,176388130,-1283010,84854820,27342614,818.134000000001,813.8715000000007,809.6138376614317,804.9774519430017,42.68626543609771,45.23804203045646,50.24529565581043,0,1,0
2020-06-17,71158,274535230,70916,243810380,30724850,76200410,6776230,815.3480000000011,813.5270000000007,807.2167762684442,804.1634089008111,41.35531698429406,44.08480496343694,49.36955598373218,0,0,1
2020-06-18,53213,122142410,41363,136810260,-14667850,58891460,17325170,812.679000000001,812.6035000000007,805.373726037818,803.4887985293053,41.92981499569179,44.51755623529394,49.62670220159808,0,0,1
2020-06-19,55344,161129290,42179,155005570,6123720,81044560,35407883,810.8600000000009,812.8605000000008,805.9021394854874,803.9451034312763,51.48404931325208,51.75547540139106,53.96524230274052,0,0,1
2020-06-22,51061,126246450,51485,170241790,-43995340,68483440,6488025,808.0050000000009,812.9965000000008,806.641750488126,804.518903104488,52.84970911603739,52.80071244894282,54.60064099775303,0,0,0
2020-06-23,58090,176145150,56785,209157620,-33012470,95807000,28761410,805.064000000001,812.6265000000008,806.8177958539213,804.813293285013,50.53231824865962,51.0627175080765,53.49032730928676,1,0,0
2020-06-24,71158,274535230,70916,243810380,30724850,74689590,3604520,801.315000000001,812.6395000000008,805.8727420622993,804.5091701150117,44.72508259066404,46.67572272010542,50.67369578656508,1,0,0
2020-06-25,71158,274535230,70916,243810380,30724850,149238780,7199761,800.279000000001,812.2620000000009,804.1704253236994,803.7473443897725,40.13458397856392,43.12029754075573,48.33540302465779,0,1,0
2020-06-26,45952,118071060,37846,139982610,-21911550,53642210,19708729,799.056000000001,811.7270000000009,802.5994389012086,802.9647401621751,39.23359641846736,42.42309250618748,47.87910125404687,1,0,0
2020-06-29,71158,274535230,70916,243810380,30724850,97111120,30713356,798.6660000000008,809.3940000000009,797.5468136464434,800.283336337206,25.25097402920626,30.6395211303263,39.40832605554225,0,1,0
2020-06-30,71158,274535230,70916,243810380,30724850,74258230,19967671,795.8370000000009,806.9855000000009,792.6346657107264,797.4496852574721,23.25376044723365,28.78172532724385,37.91608377066054,1,0,1
2020-07-01,43555,124146070,39264,112546980,11599090,56962280,37810943,794.8760000000009,805.1120000000008,791.5774537633216,796.43733428057,43.20196427234811,43.46071470349495,46.25735744068285,1,0,0
2020-07-02,42248,114024580,40545,126763460,-12738880,54056700,21081760,793.7270000000009,803.2030000000008,790.488825806354,795.4042548252776,42.23491384427241,42.71288931080689,45.75745661608045,1,0,1
2020-07-03,71158,274535230,70916,243810380,30724850,97359710,17418302,791.8860000000009,801.3730000000008,790.3763120233806,794.8771829371559,47.0468806603453,46.32816146501922,47.8686375277711,0,1,1
2020-07-06,44585,145419330,51972,145327680,9165,74204520,4203783,791.2350000000008,799.6200000000008,792.755164382766,795.6945940859982,59.53416898030284,56.20163907248671,53.99186515147296,0,0,1
2020-07-07,71158,274535230,70916,243810380,30724850,87361600,13341599,791.0420000000009,798.0530000000008,795.1051344949904,796.6455851254269,61.27458464203598,57.63391931891009,54.92329823836625,1,0,0
2020-07-08,44703,116227850,43345,130789530,-14561680,52132960,24070850,791.386000000001,796.3505000000007,796.9151100413558,797.4469579706243,60.42777339839319,57.04778096861099,54.59089849916562,1,0,1
2020-07-09,51987,156104360,56921,177533100,-21428740,81034330,34163547,793.4430000000009,796.8610000000007,800.5814536702002,799.3167714972316,69.85164612017594,64.8455092120177,59.6850062113859,0,1,0
2020-07-10,71158,274535230,70916,243810380,30724850,71215730,20029540,794.7920000000009,796.9240000000007,802.1157348210729,800.2408884974952,58.88186748234416,57.03456208620066,55.21224341908738,0,1,0
2020-07-13,71158,274535230,70916,243810380,30724850,65612220,13449256,797.928000000001,798.2970000000007,802.8528739445142,800.8055657834481,55.29927613186681,54.42662254812434,53.6803777337142,1,0,0
2020-07-14,54680,131313410,41215,121074790,10238620,60124200,19003204,801.412000000001,798.6245000000008,803.3105332273298,801.2402738040721,54.21894064505073,53.65190709205213,53.23389634655713,1,0,1
2020-07-15,39357,100365280,52854,135124160,-34758880,53466480,11522949,803.746000000001,799.3110000000008,804.5558908223607,802.0897715370177,59.71637504427456,57.70697075709504,55.61435447032028,0,1,1
2020-07-16,71158,274535230,70916,243810380,30724850,64520530,7272719,807.170000000001,800.4485000000008,807.3330015819314,803.7793171049208,68.59763090650065,64.71774019742735,60.03682536039091,0,1,0
2020-07-17,47327,125335360,50492,157638160,-32302800,65439170,11165677,809.599000000001,800.7425000000007,808.5742740215802,804.7679535711188,59.6077859229489,58.33860191516237,56.48311252172255,0,1,0
2020-07-20,52555,115575180,43164,145310600,-29735420,69313020,10113500,809.589000000001,800.4120000000008,807.6262241994747,804.6338627548218,46.16370233175224,48.16521823653544,50.36749465462472,1,0,1
2020-07-21,53466,135221340,39458,128301210,6920130,62634380,9028070,809.4910000000009,800.2665000000009,807.0941834359338,804.6401615400769,47.86577830187377,49.39695975978266,51.07530285896398,1,0,0
2020-07-22,71158,274535230,70916,243810380,30724850,65223560,19802867,808.770000000001,800.0780000000008,805.4134228112185,803.993479488641,40.27227065888138,43.45804864920981,47.35732329566784,1,0,1
2020-07-23,56183,140486110,44199,150072560,-9586450,138841140,6949210,807.091000000001,800.2670000000007,804.481891390997,803.6407671563895,43.96639826283548,46.0569733258479,48.78739192351721,0,1,0
2020-07-24,98448,234750850,63214,253516560,-18765710,142231570,2994730,803.418000000001,799.1050000000007,798.6288202289976,800.6549798081619,24.0511247840857,28.90493781927241,36.52527826223825,0,1,0
2020-07-27,87158,193395290,69651,244843360,-51448070,127324950,15327348,795.794000000001,796.8610000000007,786.1381256419071,793.9192674454798,13.36556310524693,17.69155384661975,25.91387709779343,0,1,1
2020-07-28,80974,232094880,48105,174279560,57815320,106762410,5098956,790.874000000001,796.1430000000007,780.6893755251967,790.3240991173388,34.42162995875616,35.20801408151103,37.94134302988528,1,0,0
2020-07-29,71158,274535230,70916,243810380,30724850,95374560,1741950,783.374000000001,793.5600000000006,772.4113072478882,785.070375391878,28.05265339179394,29.54441958448484,33.28229263935781,0,1,1
2020-07-30,71158,274535230,70916,243810380,30724850,51151920,11622691,775.9930000000011,791.5815000000007,767.6128877482722,781.3512920212229,35.27473840521193,35.57122019530266,37.55102087987849,1,0,0
2020-07-31,59137,141181130,38475,116668420,24512710,58079130,9733040,768.6500000000011,789.1245000000006,762.7250899758591,777.4825975430111,33.37107298279129,33.97844916200937,36.33160320477641,1,0,1
2020-08-03,56576,165115830,45959,137439340,27676490,75712850,4471010,764.100000000001,786.8445000000007,761.8405281620666,775.613778729391,44.65485806994561,43.23757048744747,42.80825380209043,1,0,1
2020-08-04,71158,274535230,70916,243810380,30724850,62080110,9563000,760.4520000000011,784.9715000000007,763.0004321325999,774.9096093265919,50.56229957521418,48.18203559461834,46.36199844838503,1,0,1
2020-08-05,65211,185680360,55439,157672170,28008190,84975870,26721574,758.7380000000011,783.7540000000006,766.2203535630363,775.4620274859641,57.01557910249404,53.65718479909511,50.36621556857616,1,0,1
2020-08-06,71158,274535230,70916,243810380,30724850,64066590,3956840,756.8690000000012,781.9800000000007,769.0166529152115,776.0465962968246,57.47702439610325,54.04642261502867,50.64893380366608,1,0,1
2020-08-07,71158,274535230,70916,243810380,30724850,68194780,5191277,757.8550000000012,780.6365000000006,771.4045342033548,776.6278728399842,57.80361512953952,54.31319972450244,50.83530857123713,1,0,1
2020-08-10,50994,148883720,49097,156964880,-8081160,79376100,5959170,763.292000000001,779.5430000000006,773.7491643481994,777.3585516171286,59.23160899723461,55.4505644005285,51.6047119829488,1,0,1
2020-08-11,46129,128710890,43237,135865590,-7154700,60223460,6928893,766.1320000000011,778.5030000000005,775.7165890121631,778.0453562250211,59.43274914694791,55.60670082917689,51.70692251743876,1,0,1
2020-08-12,52145,142990230,45206,151947780,-8957550,71949730,13516920,771.4580000000011,777.4160000000005,778.0263001008607,779.0334175369238,62.50981333135945,57.96975379937511,53.22396463554825,1,0,1
2020-08-13,43511,126285080,49510,137336130,-11051050,62104890,4749688,776.365000000001,776.1790000000005,781.1287909916133,780.5626158667407,67.49342391468855,61.92038270593759,55.81367067442049,0,1,0
2020-08-14,71158,274535230,70916,243810380,30724850,85640670,1511490,781.490000000001,775.0700000000005,783.1017380840473,781.649985784194,62.94198931910216,59.01084995163617,54.30401386473719,0,0,0
2020-08-17,71158,274535230,70916,243810380,30724850,57165820,10849411,784.8580000000011,774.4790000000005,784.6359675233114,782.5918918999851,62.24910767929359,58.57279321469523,54.08113933081167,0,0,0
2020-08-18,40478,93097390,35050,93899330,-80194,41657400,16900140,786.731000000001,773.5915000000005,785.0567007008912,783.0069498142722,54.8945789995138,53.87893439298125,51.69748841559866,1,0,1
2020-08-19,71158,274535230,70916,243810380,30724850,51465360,8390360,787.601000000001,773.1695000000004,785.8482096643655,783.6167641176748,57.99746905276677,56.00469971591336,52.89578331894012,0,1,0
2020-08-20,52387,121150650,47326,150965460,-29814810,65866250,28852790,788.0520000000009,772.4605000000005,785.8958079072081,783.8542151540868,52.36024918852181,52.36246896689427,51.06563514475807,1,0,1
2020-08-21,44417,159093080,50396,154712360,4380720,78118940,5588578,789.197000000001,773.5260000000005,787.2965701058976,784.7823851394119,62.11181579351024,59.14656466698118,54.8813333527743,1,0,1
2020-08-24,56997,193280880,68794,199364170,-6083290,102484240,11457181,791.736000000001,777.5140000000005,791.3681028139162,787.1545389356584,74.95840649949635,69.6068796021881,61.77656263301742,1,0,1
2020-08-25,56775,192170740,76961,217671690,-25500950,209685970,12393380,794.797000000001,780.4645000000005,795.6975386659313,789.8236304655957,77.9363988840986,72.32673265028683,63.8088974296325,0,1,0
2020-08-26,61934,180309290,54915,185180710,-4871420,89049860,7765050,797.1910000000009,784.3245000000005,798.7270770903075,791.9699513736342,72.75164670498125,68.7704108283563,61.98576210648616,1,0,1
2020-08-27,71158,274535230,70916,243810380,30724850,72352280,5031890,799.137000000001,787.7510000000004,801.603972164797,794.1204321951928,74.30064751564886,70.05673062796018,62.872934420291,1,0,1
2020-08-28,59461,192661690,73707,199112600,-6450910,102827430,30351346,802.1320000000011,791.8110000000005,805.2996135893794,796.7689624623173,78.9951538107528,74.10092246850863,65.77188988075211,1,0,1
2020-08-31,71158,274535230,70916,243810380,30724850,82419120,6841671,805.3710000000011,795.1145000000005,808.6869565731286,799.3557279420966,80.14204618338816,75.12520144764396,66.53450684909507,1,0,1
2020-09-01,71158,274535230,70916,243810380,30724850,78823790,8258515,809.879000000001,798.3050000000005,812.9311462871052,802.4675633761826,84.21455326935063,78.92313619700103,69.49854511063184,1,0,1
2020-09-03,71158,194242200,73459,207456790,-13214590,104709690,30572467,815.3020000000012,801.4515000000005,818.5145742349042,806.3887478165461,88.2456274774684,83.08709065613162,73.16703350053449,0,1,0
2020-09-04,78137,207551620,59124,195401100,12150520,103338380,8557280,820.7450000000011,804.3985000000005,822.5191971012853,809.6412480244941,81.7429739603096,78.43253497279164,70.72118103960375,0,0,0
2020-09-07,71638,158332590,58673,196796390,-38463800,98247460,16267550,823.8210000000012,806.5090000000005,822.8538885374152,811.0430339269232,56.42485310464566,59.01895801441709,59.53485191131696,1,0,1
2020-09-08,71158,274535230,70916,243810380,30724850,81334060,12009256,825.6090000000011,808.6725000000005,823.7113633487943,812.6170306957877,59.33975742899058,61.1644074497835,60.85765773145395,0,1,0
2020-09-09,71158,274535230,70916,243810380,30724850,82985570,9115250,826.533000000001,810.6650000000005,823.8402063762862,813.7411230104746,55.11856041852485,57.82253072054526,58.82543947683515,1,0,1
2020-09-10,57336,134001290,47659,151262180,-17260890,67659910,78524026,827.8820000000011,812.5365000000005,824.2056233987796,814.8943493904294,56.74810869566281,58.96750975511728,59.48683530518187,0,0,0
2020-09-11,55809,127907300,38045,134977900,-7070600,64103290,14531310,828.9830000000011,814.0600000000005,824.4518736899106,815.9101256389599,56.26477641642569,58.60454637699831,59.27887565391499,0,1,1
2020-09-14,71158,274535230,70916,243810380,30724850,65500510,11663320,830.014000000001,816.0730000000005,825.8678966553814,817.4653517685828,64.41068133323587,64.29910548972634,62.52842620261531,0,1,1
2020-09-15,55037,159638590,60612,183730240,-24091650,87508060,22288380,830.954000000001,818.1625000000005,827.2246427180394,818.9762706477653,65.62936872827773,65.17844814269961,63.04662025043189,0,1,1
2020-09-16,44564,107402650,46460,136406690,-29004040,54112550,8023260,831.2010000000009,820.5400000000005,828.5474349511231,820.4547210622638,67.04265773575725,66.1842444193412,63.62805509938048,0,1,0
2020-09-17,71158,274535230,70916,243810380,30724850,96606620,11120190,830.0210000000009,822.6615000000005,829.1460831418281,821.5390333420482,60.44970143704537,61.63111276642623,61.26779637482625,0,1,1
2020-09-18,71158,274535230,70916,243810380,30724850,94168740,20467120,830.0930000000008,825.4190000000004,831.3486134796775,823.4172206428055,71.87630967020698,69.88502562443261,66.06814244391794,1,0,1
2020-09-21,54806,176515690,64572,220435400,-43919710,106118340,21256100,832.8110000000008,828.3160000000004,835.0197746651907,826.095580581586,79.4393117649107,76.17682711673879,70.38214882604754,1,0,1
2020-09-22,65389,250149680,57525,224469130,25680550,130393430,5164370,835.3260000000007,830.4675000000003,838.2379974533378,828.6312395738158,80.1540221584802,76.80267927784824,70.84042566005446,0,1,1
2020-09-23,71158,274535230,70916,243810380,30724850,111915820,13518337,838.7140000000006,832.6235000000003,841.8856342800036,831.4568358048809,83.34754298345307,79.64715363059737,72.97029307555279,0,1,0
2020-09-24,60727,184197930,53406,188669770,-4471840,90213290,13617908,841.4500000000007,834.6660000000002,843.9446098654576,833.5285657282257,71.16126014855449,70.74498239164369,68.0849950127975,1,0,1
2020-09-25,71158,274535230,70916,243810380,30724850,105360670,20160000,844.3650000000009,836.6740000000002,845.9019535262835,835.5458451826804,72.54156344052845,71.79030437419807,68.7489935822989,1,0,1
2020-09-28,71158,274535230,70916,243810380,30724850,134681820,34821634,847.4720000000009,838.7430000000002,849.067052885141,838.1900504033775,79.20050283331727,77.07399931549506,72.30647283189465,0,1,0
2020-09-29,71158,274535230,70916,243810380,30724850,135082450,13767749,849.7590000000009,840.3565000000002,850.3639523605699,839.9052836982939,64.18665697929451,65.63925069309852,65.65243815794094,1,0,1
2020-09-30,66761,217645250,49880,198323550,19321700,104923280,10081762,852.1630000000008,841.6820000000001,851.8505064768299,841.6800185841707,66.61655585775557,67.42843910742806,66.73735294964243,0,0,1
2020-10-01,71158,274535230,70916,243810380,30724850,106515880,10826390,855.7370000000008,842.8790000000002,854.7104143901336,844.1466834809164,74.4345610520144,73.43931564363542,70.60078050784642,0,1,0
